prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain,rank,chkpt_id
"code: Explain what this code does:
def function_92(x): return x * 2",1.3,128,1773650100.0534263,2026-03-16T09:35:00.053430,0.41095077991485596,0.18449820578098297,mamba2-2.7b,2700000000,code,0,0
fiction: Which celestial object listed below has the greatest density? (Answer: D),1.3,128,1773650105.9844823,2026-03-16T09:35:05.984484,0.4131658375263214,0.16459858417510986,mamba2-2.7b,2700000000,fiction,1,0
"wiki: Generally prohibited in the West at large, school corporal punishment is not unusual in Alabama, with 27,260 public school students paddled at least one time, according to government data for the 2011–2012 school year.",1.3,128,1773650111.9292686,2026-03-16T09:35:11.929270,0.4999639391899109,0.17818990349769592,mamba2-2.7b,2700000000,wiki,2,0
"news: SEE: Virtual and augmented reality policy (Tech Pro Research) The XR1 features an ARM-based multi-core CPU, a vector processor, a GPU, and a dedicated AI engine for on-board processing.",1.3,128,1773650117.866837,2026-03-16T09:35:17.866839,0.5156311392784119,0.19143278896808624,mamba2-2.7b,2700000000,news,3,0
"wiki: Jordan-Hare Stadium is the home field of the Auburn football team and seats up to 87,451.",1.3,128,1773650123.8069737,2026-03-16T09:35:23.806975,0.45992738008499146,0.1876097321510315,mamba2-2.7b,2700000000,wiki,4,0
"wiki: The Goodyear Tire and Rubber Company operates a large plant in Gadsden which employs about 1,400 people.",1.3,128,1773650129.7461808,2026-03-16T09:35:29.746182,0.39733538031578064,0.1573396772146225,mamba2-2.7b,2700000000,wiki,5,0
"wiki: In Latin America, Argentina was a stronghold for anarcho-syndicalism, where it became the most prominent left-wing ideology.",0.7,128,1773650135.6955154,2026-03-16T09:35:35.695517,0.7742984890937805,0.16624104976654053,mamba2-2.7b,2700000000,wiki,6,0
"wiki: Ritualistic behavior: Unvarying pattern of daily activities, such as an unchanging menu or a dressing ritual.",0.7,63,1773650138.6187022,2026-03-16T09:35:38.618703,0.8172357678413391,0.17352060973644257,mamba2-2.7b,2700000000,wiki,7,0
"wiki: Anarchists were treated similarly in the Second International, being ultimately expelled in 1896.",1.0,128,1773650144.5544188,2026-03-16T09:35:44.554420,0.7463866472244263,0.13487835228443146,mamba2-2.7b,2700000000,wiki,8,0
"news: 34 total views, 34 views today Share Us",1.0,128,1773650150.515136,2026-03-16T09:35:50.515137,0.7259761691093445,0.17184095084667206,mamba2-2.7b,2700000000,news,9,0
"wiki: The Alabama Fever land rush was underway when the state was admitted to the Union, with settlers and land speculators pouring into the state to take advantage of fertile land suitable for cotton cultivation.",0.7,128,1773650156.4342659,2026-03-16T09:35:56.434267,0.7997584342956543,0.15104839205741882,mamba2-2.7b,2700000000,wiki,10,0
fiction: How long does it take for Earth to rotate on its axis seven times? (Answer: B),1.0,128,1773650162.3501346,2026-03-16T09:36:02.350136,0.7434288263320923,0.1860111802816391,mamba2-2.7b,2700000000,fiction,11,0
fiction: A student accidentally drops a test tube that breaks when it hits the floor. Which method is the best way to retrieve the broken glass? (Answer: C),0.7,128,1773650168.260218,2026-03-16T09:36:08.260220,0.8318636417388916,0.16443710029125214,mamba2-2.7b,2700000000,fiction,12,0
fiction: Which of these would most likely improve the air quality in large Texas cities? (Answer: A),1.0,128,1773650174.1557026,2026-03-16T09:36:14.155704,0.6818059682846069,0.15335345268249512,mamba2-2.7b,2700000000,fiction,13,0
"code: Explain what this code does:
def function_86(x): return x * 2",0.7,128,1773650180.0376449,2026-03-16T09:36:20.037647,0.9454793930053711,0.07660751044750214,mamba2-2.7b,2700000000,code,14,0
wiki: How autism occurs is not well understood.,1.0,128,1773650185.9175673,2026-03-16T09:36:25.917569,0.7392023801803589,0.13975133001804352,mamba2-2.7b,2700000000,wiki,15,0
fiction: A company is designing a new laptop computer. The computer must not exceed a certain weight. Which of the following is the most likely reason to have a weight restriction for the computer? (Answer: C),0.7,128,1773650191.8126812,2026-03-16T09:36:31.812683,0.805067777633667,0.1608152836561203,mamba2-2.7b,2700000000,fiction,16,0
fiction: Puddles on a sidewalk are evaporating quickly. What most likely causes the puddles to evaporate? (Answer: A),1.3,128,1773650197.701001,2026-03-16T09:36:37.701003,0.43756425380706787,0.1560080349445343,mamba2-2.7b,2700000000,fiction,17,0
news: The company is one of dozens of others honoring Robbins this year; last week we covered Cincinnati Ballet and New York Theatre Ballet.,0.7,128,1773650203.582677,2026-03-16T09:36:43.582679,0.7609715461730957,0.16230878233909607,mamba2-2.7b,2700000000,news,18,0
"wiki: Nonetheless, his ideas formed the inspiration for a series of modern schools around the world.",0.7,67,1773650206.6447036,2026-03-16T09:36:46.644706,0.7065962553024292,0.1553325355052948,mamba2-2.7b,2700000000,wiki,19,0
wiki: Parents often notice signs during the first three years of their child's life.,0.7,128,1773650212.6778119,2026-03-16T09:36:52.677814,0.7834181785583496,0.1261143833398819,mamba2-2.7b,2700000000,wiki,20,1
news: Subscribe Also see,1.3,128,1773650218.5870888,2026-03-16T09:36:58.587090,0.315969854593277,0.16436532139778137,mamba2-2.7b,2700000000,news,21,1
wiki: Automakers accounted for approximately a third of the industrial expansion in the state in 2012.,0.7,128,1773650224.5010548,2026-03-16T09:37:04.501056,0.7445051670074463,0.13976962864398956,mamba2-2.7b,2700000000,wiki,22,1
"wiki: About three-fifths of the land area is part of the Gulf Coastal Plain, a gentle plain with a general descent towards the Mississippi River and the Gulf of Mexico.",0.7,128,1773650230.4125729,2026-03-16T09:37:10.412574,0.7968320250511169,0.14530029892921448,mamba2-2.7b,2700000000,wiki,23,1
"wiki: Jackson, Harvey H. Inside Alabama: A Personal History of My State (2004).",1.0,40,1773650232.2419963,2026-03-16T09:37:12.241998,0.6840664744377136,0.17293618619441986,mamba2-2.7b,2700000000,wiki,24,1
"news: Additionally, compliance and security whitepapers will also help prepare would-be test takers.",0.7,128,1773650238.1448138,2026-03-16T09:37:18.144815,0.7255509495735168,0.13974003493785858,mamba2-2.7b,2700000000,news,25,1
"code: Explain what this code does:
def function_50(x): return x * 2",1.3,128,1773650244.0649161,2026-03-16T09:37:24.064918,0.3836168944835663,0.19508761167526245,mamba2-2.7b,2700000000,code,26,1
"news: ""It's not just a few ballet steps here and there; he asks you to fully engage with yourself, not only as a dancer but as an actor and a person.""",1.0,128,1773650249.9784226,2026-03-16T09:37:29.978424,0.7470357418060303,0.14748261868953705,mamba2-2.7b,2700000000,news,27,1
"code: Explain what this code does:
def function_80(x): return x * 2",1.0,128,1773650255.880048,2026-03-16T09:37:35.880049,0.7893563508987427,0.13227853178977966,mamba2-2.7b,2700000000,code,28,1
news: A Typical Day Students begin their days with an early 8 am technique class.,1.3,128,1773650261.7774742,2026-03-16T09:37:41.777476,0.6064953804016113,0.2108955830335617,mamba2-2.7b,2700000000,news,29,1
"code: Explain what this code does:
def function_95(x): return x * 2",0.7,65,1773650264.760118,2026-03-16T09:37:44.760119,0.8143637180328369,0.11136971414089203,mamba2-2.7b,2700000000,code,30,1
"wiki: With the rise of organised hierarchical bodies, scepticism toward authority also rose.",0.7,128,1773650270.658598,2026-03-16T09:37:50.658599,0.7256848812103271,0.1449812650680542,mamba2-2.7b,2700000000,wiki,31,1
news: I was unable to login with that user.,0.7,97,1773650275.1296606,2026-03-16T09:37:55.129662,0.7293056845664978,0.1138915866613388,mamba2-2.7b,2700000000,news,32,1
"wiki: Acquiring language before age six, having an IQ above 50, and having a marketable skill all predict better outcomes; independent living is unlikely with severe autism.",1.3,128,1773650281.0170789,2026-03-16T09:38:01.017082,0.4009035527706146,0.17899294197559357,mamba2-2.7b,2700000000,wiki,33,1
"wiki: Services should be carried out by behavior analysts, special education teachers, speech pathologists, and licensed psychologists.",1.0,128,1773650286.8933506,2026-03-16T09:38:06.893352,0.7593127489089966,0.15165476500988007,mamba2-2.7b,2700000000,wiki,34,1
"wiki: Contemporary-era anarchists have been engaging with various grassroots movements that are more or less based on horizontalism, although not explicitly anarchist, respecting personal autonomy and participating in mass activism such as strikes and demonstrations.",1.0,128,1773650292.773215,2026-03-16T09:38:12.773217,0.7264388799667358,0.1512000858783722,mamba2-2.7b,2700000000,wiki,35,1
wiki: No single treatment is best and treatment is typically tailored to the child's needs.,1.0,128,1773650298.6522677,2026-03-16T09:38:18.652269,0.6968774795532227,0.1649155467748642,mamba2-2.7b,2700000000,wiki,36,1
"news: Stage Time Performance is the most important aspect of BDA students' professional development, with annual productions featuring classical ballets, contemporary works and student choreography.",0.7,128,1773650304.5281565,2026-03-16T09:38:24.528158,0.7540879249572754,0.17361992597579956,mamba2-2.7b,2700000000,news,37,1
"wiki: Jackson, Harvey H. Inside Alabama: A Personal History of My State (2004).",1.3,128,1773650310.422763,2026-03-16T09:38:30.422765,0.491968035697937,0.1999707669019699,mamba2-2.7b,2700000000,wiki,38,1
"wiki: Muslims have been increasing in Alabama, with 31 mosques built by 2011, many by African-American converts.",1.0,128,1773650316.3219435,2026-03-16T09:38:36.321945,0.7443077564239502,0.16277530789375305,mamba2-2.7b,2700000000,wiki,39,1
wiki: Anarchism pays significant attention to moral arguments since ethics have a central role in anarchist philosophy.,1.0,128,1773650322.293439,2026-03-16T09:38:42.293441,0.7597665786743164,0.1381533145904541,mamba2-2.7b,2700000000,wiki,40,2
fiction: Trees most likely change the environment in which they are located by (Answer: D),1.0,128,1773650328.1771166,2026-03-16T09:38:48.177118,0.7567835450172424,0.1670507788658142,mamba2-2.7b,2700000000,fiction,41,2
"fiction: Some animals are very rare. For example, there are very few Siberian tigers. If the only Siberian tigers left are female, what will most likely happen? (Answer: D)",0.7,118,1773650333.6068401,2026-03-16T09:38:53.606842,0.8228318095207214,0.15292884409427643,mamba2-2.7b,2700000000,fiction,42,2
"wiki: It has been established that vaccination is not a risk factor for autism and is not behind any increase in autism prevalence rates, if any change in the rate of autism exists at all.",0.7,128,1773650339.4724,2026-03-16T09:38:59.472402,0.7717469334602356,0.15109024941921234,mamba2-2.7b,2700000000,wiki,43,2
wiki: Two common optical albedos that are used in astronomy are the (V-band) geometric albedo (measuring brightness when illumination comes from directly behind the observer) and the Bond albedo (measuring total proportion of electromagnetic energy reflected).,0.7,128,1773650345.3744109,2026-03-16T09:39:05.374412,0.823636531829834,0.1347755789756775,mamba2-2.7b,2700000000,wiki,44,2
wiki: Alabama ranks ninth in the number of deaths from lightning and tenth in the number of deaths from lightning strikes per capita.,0.7,128,1773650351.2736607,2026-03-16T09:39:11.273662,0.8312535285949707,0.13429571688175201,mamba2-2.7b,2700000000,wiki,45,2
"news: It's an invaluable quality for a person to have, whether they continue to dance or end up doing other things.",1.3,128,1773650357.1614983,2026-03-16T09:39:17.161500,0.5299534797668457,0.2156703621149063,mamba2-2.7b,2700000000,news,46,2
"wiki: Societal and cultural aspects of autism have developed: some in the community seek a cure, while others believe that autism is simply another way of being.",1.0,128,1773650363.0491998,2026-03-16T09:39:23.049202,0.7597929239273071,0.14841049909591675,mamba2-2.7b,2700000000,wiki,47,2
"code: Explain what this code does:
def function_91(x): return x * 2",0.7,128,1773650368.9138045,2026-03-16T09:39:28.913806,0.8942002058029175,0.12252004444599152,mamba2-2.7b,2700000000,code,48,2
"wiki: There was also a cursive style used for everyday or utilitarian writing, which was done on more perishable surfaces.",1.3,128,1773650374.7877796,2026-03-16T09:39:34.787781,0.5240159034729004,0.15948855876922607,mamba2-2.7b,2700000000,wiki,49,2
"news: For example, one online retailer Rickard works with has many customers from the EU, but can't geolocate them from the website.",1.3,71,1773650378.0418682,2026-03-16T09:39:38.041870,0.59955233335495,0.15679065883159637,mamba2-2.7b,2700000000,news,50,2
fiction: An old T-shirt can be ripped into smaller pieces and used as rags. An empty milk jug can be used to water houseplants. Both of these are examples of how (Answer: D),1.3,128,1773650383.908636,2026-03-16T09:39:43.908638,0.4188908040523529,0.18482601642608643,mamba2-2.7b,2700000000,fiction,51,2
wiki: Rural workers poured into the largest cities in the state for better jobs and a higher standard of living.,0.7,128,1773650389.7974694,2026-03-16T09:39:49.797471,0.8067061305046082,0.1658996045589447,mamba2-2.7b,2700000000,wiki,52,2
wiki: Alabama is one of the few places in the world that has a secondary tornado season in November and December besides the typically severe spring.,1.0,128,1773650395.683792,2026-03-16T09:39:55.683794,0.7431914210319519,0.1382303237915039,mamba2-2.7b,2700000000,wiki,53,2
"code: Explain what this code does:
def function_17(x): return x * 2",0.7,128,1773650401.5727298,2026-03-16T09:40:01.572733,0.7847095131874084,0.10721476376056671,mamba2-2.7b,2700000000,code,54,2
"code: Explain what this code does:
def function_90(x): return x * 2",1.0,117,1773650406.9336796,2026-03-16T09:40:06.933681,0.761315643787384,0.11186347156763077,mamba2-2.7b,2700000000,code,55,2
"wiki: What is now the counties of Baldwin and Mobile became part of Spanish West Florida in 1783, part of the independent Republic of West Florida in 1810, and was finally added to the Mississippi Territory in 1812.",0.7,128,1773650412.8094358,2026-03-16T09:40:12.809438,0.7914523482322693,0.13040031492710114,mamba2-2.7b,2700000000,wiki,56,2
wiki: This coincided with its failure to gain traction in Northern Europe and its unprecedented height in Latin America.,0.7,128,1773650418.68165,2026-03-16T09:40:18.681652,0.7209069132804871,0.1693553626537323,mamba2-2.7b,2700000000,wiki,57,2
"code: Explain what this code does:
def function_67(x): return x * 2",0.7,26,1773650419.8611603,2026-03-16T09:40:19.861162,0.7653782367706299,0.12160240113735199,mamba2-2.7b,2700000000,code,58,2
"wiki: However, there are no correspondingly similar words in the Alabama language.",1.0,128,1773650425.729548,2026-03-16T09:40:25.729549,0.672764241695404,0.18333151936531067,mamba2-2.7b,2700000000,wiki,59,2
wiki: The suffix -ism denotes the ideological current that favours anarchy.,1.0,128,1773650431.703095,2026-03-16T09:40:31.703097,0.8027210831642151,0.1807641088962555,mamba2-2.7b,2700000000,wiki,60,3
wiki: Robert Paul Wolff believed that the tension between authority and autonomy would mean the state could never be legitimate.,1.3,128,1773650437.589862,2026-03-16T09:40:37.589864,0.42730170488357544,0.1777632236480713,mamba2-2.7b,2700000000,wiki,61,3
wiki: The Alabama Alcoholic Beverage Control Board controls the sale and distribution of alcoholic beverages in the state.,0.7,128,1773650443.48388,2026-03-16T09:40:43.483881,0.8518178462982178,0.14482179284095764,mamba2-2.7b,2700000000,wiki,62,3
"wiki: An estimated 60–80% of autistic people have motor signs that include poor muscle tone, poor motor planning, and toe walking;  deficits in motor coordination are pervasive across ASD and are greater in autism proper.",1.3,128,1773650449.386396,2026-03-16T09:40:49.386397,0.5832211375236511,0.20086826384067535,mamba2-2.7b,2700000000,wiki,63,3
fiction: Which property of a mineral can be determined just by looking at it? (Answer: A),1.0,128,1773650455.273956,2026-03-16T09:40:55.273958,0.5421462059020996,0.17346081137657166,mamba2-2.7b,2700000000,fiction,64,3
fiction: Which planet has the longest planetary year? (Answer: D),1.0,128,1773650461.1684449,2026-03-16T09:41:01.168447,0.6990710496902466,0.17671896517276764,mamba2-2.7b,2700000000,fiction,65,3
"wiki: The grouping of disorders, including PDD-NOS, autism, Asperger syndrome, Rett syndrome, and CDD, has been removed and replaced with the general term of Autism Spectrum Disorders.",1.3,128,1773650467.0626225,2026-03-16T09:41:07.062624,0.4402819871902466,0.21195410192012787,mamba2-2.7b,2700000000,wiki,66,3
fiction: What adaptation is necessary in intertidal ecosystems but not in reef ecosystems? (Answer: C),1.3,128,1773650472.9541085,2026-03-16T09:41:12.954111,0.3892017602920532,0.170249342918396,mamba2-2.7b,2700000000,fiction,67,3
"wiki: The scattering of radiation causes atmospheric cooling, whereas absorption can cause atmospheric warming.",1.0,128,1773650478.8346343,2026-03-16T09:41:18.834636,0.7596406936645508,0.1333225667476654,mamba2-2.7b,2700000000,wiki,68,3
"wiki: According to the 2012 U.S. News & World Report, Alabama had four tier one universities (University of Alabama, Auburn University, University of Alabama at Birmingham and University of Alabama in Huntsville).",0.7,128,1773650484.7123005,2026-03-16T09:41:24.712302,0.8911377787590027,0.14534737169742584,mamba2-2.7b,2700000000,wiki,69,3
"wiki: Of the parks and natural destinations, Alabama's Gulf Coast topped the list with 6,700,000 visitors.",1.0,128,1773650490.584418,2026-03-16T09:41:30.584420,0.778764009475708,0.15658444166183472,mamba2-2.7b,2700000000,wiki,70,3
"wiki: Among those who find work, most are employed in sheltered settings working for wages below the national minimum.",1.0,128,1773650496.4554765,2026-03-16T09:41:36.455478,0.7179441452026367,0.13784979283809662,mamba2-2.7b,2700000000,wiki,71,3
"code: Explain what this code does:
def function_22(x): return x * 2",1.0,58,1773650499.108182,2026-03-16T09:41:39.108184,0.8836725950241089,0.11918190121650696,mamba2-2.7b,2700000000,code,72,3
"wiki: Since a direct connection from I-22 to I-422 will not be possible, I-222 has been proposed, as well.",1.0,128,1773650504.9854605,2026-03-16T09:41:44.985462,0.7663800716400146,0.1305752396583557,mamba2-2.7b,2700000000,wiki,73,3
wiki: Anarchism appears in English from 1642 as anarchisme and anarchy from 1539; early English usages emphasised a sense of disorder.,1.3,128,1773650510.8781788,2026-03-16T09:41:50.878180,0.6941287517547607,0.1776684820652008,mamba2-2.7b,2700000000,wiki,74,3
wiki: The judiciary is responsible for interpreting the Constitution of Alabama and applying the law in state criminal and civil cases.,1.0,64,1773650513.8151932,2026-03-16T09:41:53.815194,0.8240147233009338,0.1270672082901001,mamba2-2.7b,2700000000,wiki,75,3
"wiki: With the anarchists being crushed in Russia, two new antithetical currents emerged, namely platformism and synthesis anarchism.",1.3,128,1773650519.7098558,2026-03-16T09:41:59.709857,0.48369449377059937,0.18974190950393677,mamba2-2.7b,2700000000,wiki,76,3
"wiki: Treatment approaches have little empirical support in quality-of-life contexts, and many programs focus on success measures that lack predictive validity and real-world relevance.",0.7,128,1773650525.6025198,2026-03-16T09:42:05.602521,0.820380449295044,0.18156996369361877,mamba2-2.7b,2700000000,wiki,77,3
"wiki: In the 2000s, the number of autistic people worldwide was estimated at 1–2 per 1,000 people.",0.7,128,1773650531.4902573,2026-03-16T09:42:11.490259,0.7762971520423889,0.12350078672170639,mamba2-2.7b,2700000000,wiki,78,3
news: What are you most looking forward to in your new role?,1.3,128,1773650537.353275,2026-03-16T09:42:17.353277,0.3563605546951294,0.2007458359003067,mamba2-2.7b,2700000000,news,79,3
wiki: Enlightenment challenges to intellectual authority (secular and religious) and the revolutions of the 1790s and 1848 all spurred the ideological development of what became the era of classical anarchism.,1.0,128,1773650543.3332005,2026-03-16T09:42:23.333202,0.7459845542907715,0.15617170929908752,mamba2-2.7b,2700000000,wiki,80,4
"wiki: Among these approaches, interventions either treat autistic features comprehensively, or focalize treatment on a specific area of deficit.",0.7,128,1773650549.2227352,2026-03-16T09:42:29.222736,0.7988187074661255,0.14524856209754944,mamba2-2.7b,2700000000,wiki,81,4
"news: This week marks the world premiere of Frame by Frame, The National Ballet of Canada's new full length ballet based on the life and work of innovative filmmaker Norman McLaren.",1.3,128,1773650555.122402,2026-03-16T09:42:35.122404,0.5704208612442017,0.1931256353855133,mamba2-2.7b,2700000000,news,82,4
"code: Explain what this code does:
def function_21(x): return x * 2",1.3,128,1773650561.0191593,2026-03-16T09:42:41.019161,0.5552260875701904,0.17566274106502533,mamba2-2.7b,2700000000,code,83,4
fiction: Cellular respiration results in the production of adenosine triphosphate (ATP) molecules for energy. The most efficient form of cellular respiration would result in the production of ATP along with which substances? (Answer: D),1.0,128,1773650566.928626,2026-03-16T09:42:46.928628,0.7483378648757935,0.16669589281082153,mamba2-2.7b,2700000000,fiction,84,4
"news: Although you might find systems with more features (and a more powerful configuration system), Trac is very simple to set up and use.",1.0,128,1773650572.824199,2026-03-16T09:42:52.824201,0.8138605356216431,0.1427285522222519,mamba2-2.7b,2700000000,news,85,4
"wiki: In most instances, the transmitted pulse is circularly polarized and the received pulse is measured in the same sense of polarization as the transmitted pulse (SC) and the opposite sense (OC).",1.0,128,1773650578.7173853,2026-03-16T09:42:58.717387,0.7439860105514526,0.13759727776050568,mamba2-2.7b,2700000000,wiki,86,4
news: We had our first workshop four years ago.,1.0,128,1773650584.5781407,2026-03-16T09:43:04.578142,0.7319557666778564,0.15275263786315918,mamba2-2.7b,2700000000,news,87,4
"wiki: Those free love movements contributed to the establishment of communal houses, where large groups of travelers, anarchists and other activists slept in beds together.",1.0,128,1773650590.4483848,2026-03-16T09:43:10.448387,0.7267273664474487,0.15905572474002838,mamba2-2.7b,2700000000,wiki,88,4
news: Log in with the user admin and the password you set when you created admin user earlier.,0.7,94,1773650594.7680647,2026-03-16T09:43:14.768066,0.7736235857009888,0.15847624838352203,mamba2-2.7b,2700000000,news,89,4
wiki: WPA Guide to Alabama (1939).,1.0,128,1773650600.666288,2026-03-16T09:43:20.666290,0.7614617347717285,0.1521957516670227,mamba2-2.7b,2700000000,wiki,90,4
"wiki: Many of these attacks were done by individual assailants and the majority took place in the late 1870s, the early 1880s and the 1890s, with some still occurring in the early 1900s.",0.7,80,1773650604.339907,2026-03-16T09:43:24.339908,0.7616564035415649,0.1692567616701126,mamba2-2.7b,2700000000,wiki,91,4
"code: Explain what this code does:
def function_59(x): return x * 2",1.3,128,1773650610.2318623,2026-03-16T09:43:30.231863,0.4894072413444519,0.14601391553878784,mamba2-2.7b,2700000000,code,92,4
news: Robert had just finished his documentary and has a really deep understanding of this kind of Canadian culture.,1.3,128,1773650616.1208305,2026-03-16T09:43:36.120832,0.4091643691062927,0.1561833918094635,mamba2-2.7b,2700000000,news,93,4
"wiki: This compared to more than 181,000 African Americans eligible to vote in 1900.",1.3,128,1773650622.030566,2026-03-16T09:43:42.030568,0.4710846543312073,0.18552255630493164,mamba2-2.7b,2700000000,wiki,94,4
wiki: The atypical antipsychotic drugs risperidone and aripiprazole are FDA-approved for treating associated aggressive and self-injurious behaviors.,1.3,128,1773650627.9207976,2026-03-16T09:43:47.920799,0.4630979001522064,0.2638564705848694,mamba2-2.7b,2700000000,wiki,95,4
"wiki: Interest in the anarchist movement developed alongside momentum in the anti-globalisation movement, whose leading activist networks were anarchist in orientation.",0.7,128,1773650633.8084078,2026-03-16T09:43:53.808410,0.7927015423774719,0.15077435970306396,mamba2-2.7b,2700000000,wiki,96,4
"news: The Royal Swedish Ballet in Alexander Ekman's ""Midsummer Night's Dream.""",1.0,48,1773650635.9998085,2026-03-16T09:43:55.999810,0.7332000136375427,0.13288626074790955,mamba2-2.7b,2700000000,news,97,4
fiction: Which of these is not an inherited trait in humans? (Answer: D),0.7,128,1773650641.902419,2026-03-16T09:44:01.902421,0.8110406398773193,0.16476383805274963,mamba2-2.7b,2700000000,fiction,98,4
"wiki: This can take the form of disrupting and protesting against unjust hierarchy, or the form of self-managing their lives through the creation of counter-institutions such as communes and non-hierarchical collectives.",1.0,128,1773650647.8001125,2026-03-16T09:44:07.800114,0.6490498781204224,0.19491295516490936,mamba2-2.7b,2700000000,wiki,99,4
"code: Explain what this code does:
def function_51(x): return x * 2",0.7,128,1773650653.7768395,2026-03-16T09:44:13.776841,0.8421662449836731,0.13359877467155457,mamba2-2.7b,2700000000,code,100,5
"fiction: A scientist put several different plants in a sealed container. Every hour, she checked the oxygen in the container to see if it changed. How did the oxygen in the container most likely change? (Answer: A)",1.3,128,1773650659.6743143,2026-03-16T09:44:19.674317,0.43643009662628174,0.19688323140144348,mamba2-2.7b,2700000000,fiction,101,5
"news: The team will be responsible for the day-to-day artistic needs of the company including scheduling, casting and conducting rehearsals.",0.7,128,1773650665.5516262,2026-03-16T09:44:25.551628,0.7600204348564148,0.1590908020734787,mamba2-2.7b,2700000000,news,102,5
